id,direction_label,theta,phi,Ex,Ey,Ez,lambda_magnitude,has_optimized_xyz,converged,promoted,resumed_from_stall,attempts,final_gnorm,conv_threshold,final_energy_hartree,frequency_complete,zpe_hartree,zpe_ev,zpe_corrected_energy_hartree,n_real_modes,n_imaginary,imaginary_freqs_cm,lowest_freq_cm,xyz_file_name
para_dirA13_r001_th139_ph83,A13,139.0,83.0,0.007995348309809176,0.06511688644740705,-0.07547095802227721,0.1,True,True,False,False,4,0.0003912428655413262,0.0005,-3010.346415885031,True,0.106630842744163,2.9015730240150184,-3010.2397850422867,39,0,,35.5947108036186,para_dirA13_r001_th139_ph83.xyz
para_dirA14_r001_th157_ph73,A14,157.0,73.0,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.1,True,True,True,True,6,0.0009163204604321815,0.0009,-3010.354092431353,True,0.10628105924742912,2.8920549302604397,-3010.2478113721054,39,0,,48.141799223291564,para_dirA14_r001_th157_ph73.xyz
para_dirA15_r001_th134_ph71,A15,134.0,71.0,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.1,True,True,True,True,6,0.0010366672420294367,0.00095,-3010.3451019533222,False,,,,,,,,para_dirA15_r001_th134_ph71.xyz
para_dirA16_r001_th159_ph40,A16,159.0,40.0,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.1,True,True,True,False,6,0.0009333150523631908,0.0005,-3010.3563890453534,True,0.10608021477671196,2.8865896738368955,-3010.2503088305766,39,0,,61.03979031381533,para_dirA16_r001_th159_ph40.xyz
para_dirA17_r001_th146_ph42,A17,146.0,42.0,0.04155613126579656,0.03741730865709514,-0.08290375725550417,0.1,True,True,True,True,6,0.0014163885358693224,0.00095,-3010.3509643289963,False,,,,,,,,para_dirA17_r001_th146_ph42.xyz
para_dirA18_r001_th153_ph13,A18,153.0,13.0,0.04423547526431036,0.010212564157850924,-0.08910065241883679,0.1,True,True,False,False,4,0.00036796294306840207,0.0005,-3010.3542553947154,True,0.10606307754479732,2.886123346003877,-3010.248192317171,39,0,,65.03857094716773,para_dirA18_r001_th153_ph13.xyz
para_dirA19_r001_th130_ph39,A19,130.0,39.0,0.05953283452664681,0.04820873885051902,-0.06427876096865394,0.1,False,False,False,True,6,0.0017398618715757633,0.00095,-3010.3407381196675,False,,,,,,,,
para_dirA20_r001_th139_ph1,A20,139.0,1.0,0.06559591080226988,0.00114498088207919,-0.07547095802227721,0.1,False,False,False,True,6,0.0017868187089303815,0.00095,-3010.345782873907,False,,,,,,,,
para_dirA21_r001_th135_ph21,A21,135.0,21.0,0.06601410503592008,0.025340440728340043,-0.07071067811865477,0.1,True,True,True,True,6,0.0014992306569499238,0.00095,-3010.3430065538378,False,,,,,,,,para_dirA21_r001_th135_ph21.xyz
para_dirA22_r001_th116_ph41,A22,116.0,41.0,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.1,True,True,True,False,6,0.0009452498001519624,0.0005,-3010.3312276449337,True,0.10684985079981789,2.9075325367598897,-3010.224377794134,39,0,,17.42440642350822,para_dirA22_r001_th116_ph41.xyz
para_dirA23_r001_th119_ph26,A23,119.0,26.0,0.07861029855528101,0.038340804402302406,-0.0484809620246337,0.1,False,False,False,True,6,0.0015198658705582692,0.00095,-3010.3309537855125,False,,,,,,,,
para_dirA24_r001_th124_ph9,A24,124.0,9.0,0.08188307443279104,0.012969004916089958,-0.055919290347074685,0.1,False,False,False,True,6,0.001964889707679371,0.00095,-3010.3340177439845,False,,,,,,,,
para_dirA25_r001_th105_ph32,A25,105.0,32.0,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.1,True,True,True,False,6,0.0007908460089367411,0.0005,-3010.322413931199,True,0.10699171220025651,2.911392782089182,-3010.215422218999,38,1,-14.016120570934829,-14.016120570934829,para_dirA25_r001_th105_ph32.xyz
